2025-08-21 00:53:44.740 | WARNING  | __main__:activation_polling_shooter:126 - Not get registration data yet, registering..
2025-08-21 00:53:44.742 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: POST | path: /miner/register
2025-08-21 00:53:44.742 | ERROR    | __main__:prune_old_activations:184 - Failed to prune outdated activations [Errno 2] No such file or directory: './forward_activations.jsonl'
2025-08-21 00:53:44.742 | INFO     | __main__:get_registration_data:193 - Registration file path: ./registration_data.json, True
2025-08-21 00:53:44.742 | INFO     | __main__:get_registration_data:202 - Read registration data from registration_data.json: layer: 2
2025-08-21 00:53:45.205 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/register
2025-08-21 00:53:50.212 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:53:50.554 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:53:50.555 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:53:50.555 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:53:55.217 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:53:55.554 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:53:55.554 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:53:55.554 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:54:00.220 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:54:00.563 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:54:00.563 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:54:00.563 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:54:05.223 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:54:05.610 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:54:05.611 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:54:05.611 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:54:10.228 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:54:10.582 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:54:10.582 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:54:10.582 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:54:15.234 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:54:15.586 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:54:15.586 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:54:15.587 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:54:20.238 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:54:20.633 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
2025-08-21 00:54:20.633 | WARNING  | __main__:parse_response:72 - Layer state change: {'layer': 2, 'expected_status': 'training', 'actual_status': 'weights_uploading', 'message': 'Layer 2 is not in the expected state training, actual: weights_uploading'}
2025-08-21 00:54:20.633 | ERROR    | __main__:activation_polling:101 - Error in activation response handler: 'ActivationPoller' object has no attribute 'state_manager'
2025-08-21 00:54:25.243 | DEBUG    | subnet.common_api_client:orchestrator_request:24 - 
Making orchestrator request | method: GET | path: /miner/get_activation
2025-08-21 00:54:25.689 | DEBUG    | subnet.common_api_client:orchestrator_request:83 - Successfully completed request to /miner/get_activation
